date,a,b,c,d,e,mb
6-30-15,11,17,34,43,50,15
7-3-15,33,50,64,71,72,9
7-7-15,6,15,16,28,49,14
7-10-15,24,27,45,51,54,8
7-14-15,19,24,30,35,72,5
7-17-15,6,17,30,31,41,15
7-21-15,20,30,62,65,74,1
7-24-15,10,12,26,60,62,13
7-28-15,8,35,61,68,75,15
7-31-15,28,32,33,40,46,10
8-4-15,2,19,44,51,57,14
8-7-15,1,38,53,63,66,10
8-11-15,3,8,29,57,68,8
8-14-15,12,15,20,52,71,3
8-18-15,2,7,33,39,53,9
8-21-15,13,15,21,41,72,1
8-25-15,5,44,54,59,63,1
8-28-15,13,35,40,60,68,9
9-1-15,2,5,35,40,54,13
9-4-15,17,21,39,52,57,5
9-8-15,19,20,36,41,46,7
9-11-15,5,11,31,50,67,14
9-15-15,7,20,35,49,56,9
9-18-15,17,34,35,51,65,7
9-22-15,28,30,38,45,51,8
9-25-15,3,8,38,51,64,4
9-29-15,8,21,30,61,62,9
10-2-15,4,14,29,31,47,9
10-6-15,17,58,63,64,66,13
10-9-15,8,9,21,63,75,14
10-13-15,7,9,24,38,52,1
10-16-15,2,38,48,61,68,4
10-20-15,6,25,35,38,52,4
10-23-15,25,32,37,45,70,1
10-27-15,9,26,27,29,74,4
10-30-15,17,41,51,53,56,15
11-3-15,16,29,44,69,74,12
11-6-15,10,31,35,50,72,8
11-10-15,8,17,20,45,71,4
11-13-15,17,18,31,35,59,9
11-17-15,12,14,18,24,61,10
11-20-15,9,12,29,37,67,15
11-24-15,2,19,30,38,70,8
11-27-15,16,20,39,56,59,12
12-1-15,5,7,25,50,59,12
12-4-15,26,42,47,61,73,6
12-8-15,7,17,37,49,73,15
12-11-15,14,20,43,54,69,5
12-15-15,18,25,47,51,61,5
12-18-15,6,23,24,28,62,7
12-22-15,11,21,40,50,70,15
12-25-15,15,25,29,44,51,4
12-29-15,20,25,55,62,74,7
1-1-16,7,18,37,38,39,9
1-5-16,1,4,36,48,57,13
1-8-16,11,39,51,57,75,2
1-12-16,15,27,29,31,48,15
1-15-16,29,41,53,54,70,12
1-19-16,2,17,31,39,47,9
1-22-16,21,25,40,46,56,3
1-26-16,14,27,39,50,69,2
1-29-16,20,28,49,51,52,6
2-2-16,7,13,25,51,70,9
2-5-16,4,6,23,55,75,2
2-9-16,3,42,46,56,71,13
2-12-16,1,7,44,68,73,1
2-16-16,9,31,33,46,64,4
2-19-16,2,27,41,50,75,4
2-23-16,16,32,39,53,57,10
2-26-16,3,15,19,62,74,14
3-1-16,1,29,33,34,55,6
3-4-16,21,26,33,48,73,14
3-8-16,27,37,54,66,69,5
3-11-16,14,18,48,54,71,13
3-15-16,18,26,30,44,68,7
3-18-16,5,8,57,59,73,13
3-22-16,6,19,34,38,70,5
3-25-16,4,11,12,35,46,12
3-29-16,33,38,40,46,49,15
4-1-16,25,28,33,41,69,6
4-5-16,13,45,52,53,57,10
4-8-16,31,38,52,65,71,15
4-12-16,7,11,59,62,63,3
4-15-16,9,10,34,37,73,9
4-19-16,9,28,40,57,65,2
4-22-16,2,19,21,42,60,13
4-26-16,14,16,17,28,48,2
4-29-16,5,6,37,55,74,10
5-3-16,28,29,33,36,45,15
5-6-16,14,26,27,32,36,7
5-10-16,12,22,46,56,74,4
5-13-16,20,21,38,54,66,7
5-17-16,17,24,27,48,75,6
5-20-16,19,24,26,40,68,8
5-24-16,11,50,51,70,75,15
5-27-16,18,41,50,68,70,9
5-31-16,9,31,34,41,49,8
6-3-16,32,54,65,66,71,10
6-7-16,25,48,51,65,72,4
6-10-16,34,61,66,67,68,7
6-14-16,36,37,38,52,62,6
6-17-16,20,23,30,44,59,9
6-21-16,6,13,21,49,50,10
6-24-16,11,14,54,57,63,11
6-28-16,15,17,20,35,55,7
7-1-16,20,41,42,45,49,14
7-5-16,29,46,53,64,73,10
7-8-16,8,19,20,55,73,5
7-12-16,6,8,22,46,68,4
7-15-16,16,51,52,56,58,4
7-19-16,3,34,54,65,66,4
7-22-16,8,24,25,26,30,7
7-26-16,1,4,31,36,54,9
7-29-16,11,16,19,31,48,4
8-2-16,3,12,36,54,70,12
8-5-16,5,18,28,54,74,6
8-9-16,12,19,20,44,66,1
8-12-16,4,41,44,56,69,10
8-16-16,2,43,52,62,63,6
8-19-16,22,37,45,65,73,13
8-23-16,2,7,46,61,66,1
8-26-16,10,11,31,41,44,14
8-30-16,28,32,41,51,71,11
9-2-16,22,28,41,46,60,3
9-6-16,25,37,58,69,75,8
9-9-16,1,34,43,44,63,11
9-13-16,6,15,17,39,56,15
9-16-16,13,21,28,34,40,15
9-20-16,2,22,34,62,72,2
9-23-16,1,5,8,25,62,14
9-27-16,14,16,26,53,72,4
9-30-16,21,30,47,50,57,9
10-4-16,18,29,30,54,66,1
10-7-16,24,37,42,50,65,14
10-11-16,36,39,42,45,48,3
10-14-16,7,27,60,64,74,5
10-18-16,7,24,28,65,74,1
10-21-16,12,43,44,48,66,3
