date,a,b,c,d,e,mb
3-16-21,10,41,46,52,69,8
3-19-21,9,14,40,58,69,8
3-23-21,12,23,35,38,55,11
3-26-21,4,25,37,46,67,15
3-30-21,11,37,47,53,56,15
4-2-21,10,42,48,53,62,19
4-6-21,1,19,20,32,42,17
4-9-21,22,26,27,58,66,12
4-13-21,10,15,19,45,68,9
4-16-21,17,27,28,50,55,25
4-20-21,6,23,43,49,52,5
4-23-21,4,28,29,30,60,25
4-27-21,15,22,30,41,42,25
4-30-21,8,19,26,48,49,5
5-4-21,4,27,32,57,63,22
5-7-21,5,10,19,21,50,10
5-11-21,7,8,20,36,39,22
5-14-21,3,18,41,44,68,3
5-18-21,3,5,56,61,66,4
5-21-21,6,9,17,18,48,8
5-25-21,14,21,31,34,54,11
5-28-21,10,14,20,47,70,15
6-1-21,7,11,33,58,63,23
6-4-21,4,30,34,41,64,8
6-8-21,9,22,39,41,54,19
6-11-21,4,43,56,63,68,13
6-15-21,18,22,27,38,52,11
6-18-21,14,36,44,46,53,18
6-22-21,1,26,48,51,59,25
6-25-21,17,20,42,45,65,12
6-29-21,7,38,50,52,69,21
7-2-21,8,31,32,34,45,19
7-6-21,18,47,63,68,69,14
7-9-21,6,37,39,41,46,17
7-13-21,3,10,17,26,55,24
7-16-21,24,25,47,52,57,24
7-20-21,10,26,30,52,57,10
7-23-21,13,17,19,40,69,17
7-27-21,2,35,36,54,64,11
7-30-21,19,26,31,52,68,10
8-3-21,1,9,17,27,34,24
8-6-21,9,18,40,46,69,9
8-10-21,29,45,50,59,62,12
8-13-21,17,21,35,40,53,11
8-17-21,3,6,16,38,56,24
8-20-21,41,43,51,57,70,1
8-24-21,17,18,26,52,67,19
8-27-21,1,10,44,47,56,23
8-31-21,8,14,31,58,68,15
9-3-21,7,10,12,61,65,3
9-7-21,15,17,25,32,53,12
9-10-21,20,32,35,47,64,18
9-14-21,4,13,19,63,64,16
9-17-21,17,32,40,59,61,18
9-21-21,36,41,45,51,56,13
9-24-21,17,21,27,43,56,15
9-28-21,18,30,43,68,69,22
10-1-21,21,25,36,62,63,6
10-5-21,7,11,18,30,36,4
10-8-21,21,24,36,40,70,22
10-12-21,21,26,56,61,65,4
10-15-21,3,20,31,34,65,18
10-19-21,3,12,13,19,52,1
10-22-21,9,14,26,29,66,22
10-26-21,6,14,19,56,62,9
10-29-21,15,26,28,35,45,4
11-2-21,5,10,26,58,65,9
11-5-21,10,15,20,66,68,18
11-9-21,9,14,16,26,49,14
11-12-21,30,32,42,46,48,15
11-16-21,6,22,44,53,65,3
11-19-21,5,23,52,53,59,18
11-23-21,7,24,54,57,58,6
11-26-21,7,27,37,42,59,2
11-30-21,7,8,26,30,39,17
12-3-21,22,45,48,58,61,13
12-7-21,1,7,40,43,68,1
12-10-21,23,25,40,42,60,8
12-14-21,33,35,44,55,69,20
12-17-21,21,32,38,48,62,10
12-21-21,25,31,58,64,67,24
12-24-21,16,17,25,36,37,16
12-28-21,3,5,8,31,38,4
12-31-21,2,5,30,46,61,8
1-4-22,4,6,16,21,22,1
1-7-22,7,29,43,56,57,6
1-11-22,2,3,19,52,58,16
1-14-22,5,8,13,22,48,25
1-18-22,4,19,39,42,52,9
1-21-22,38,45,46,55,67,18
1-25-22,3,12,38,53,58,13
1-28-22,3,16,25,44,55,13
2-1-22,11,24,38,62,66,1
2-4-22,7,16,34,44,61,24
2-8-22,1,17,20,52,54,2
2-11-22,11,16,23,24,30,24
2-15-22,2,4,15,21,63,19
2-18-22,6,11,50,63,68,17
2-22-22,6,17,22,57,62,3
2-25-22,15,31,40,56,66,4
3-1-22,18,22,38,39,50,18
3-4-22,11,19,28,46,47,5
3-8-22,7,18,38,58,64,24
3-11-22,24,28,39,44,66,25
3-15-22,9,14,28,59,60,24
3-18-22,2,6,25,40,45,5
3-22-22,8,15,21,27,61,8
3-25-22,3,13,42,51,58,17
3-29-22,7,22,36,45,47,12
4-1-22,26,42,47,48,63,21
4-5-22,22,43,60,63,64,18
4-8-22,8,11,29,32,40,2
4-12-22,2,8,14,20,31,17
4-15-22,4,17,20,46,64,23
4-19-22,2,9,33,47,53,24
4-22-22,7,28,29,58,59,10
4-26-22,5,7,19,46,69,2
4-29-22,9,11,34,49,66,15
5-3-22,15,19,27,35,57,17
5-6-22,16,21,33,52,70,10
5-10-22,15,19,20,61,70,6
5-13-22,11,41,43,44,65,13
5-17-22,7,21,24,41,65,24
5-20-22,33,40,59,60,69,22
5-24-22,3,5,6,63,68,25
5-27-22,3,14,40,53,54,8
5-31-22,6,15,41,63,64,24
6-3-22,11,16,22,48,59,11
6-7-22,4,34,40,41,53,3
6-10-22,3,12,14,18,32,4
6-14-22,30,37,38,42,58,22
6-17-22,20,36,53,56,69,16
6-21-22,8,13,18,32,42,20
6-24-22,1,7,11,25,56,14
6-28-22,7,12,21,43,55,11
7-1-22,1,27,29,38,62,12
7-5-22,27,31,50,51,61,21
7-8-22,20,36,61,62,69,20
7-12-22,4,7,10,45,64,12
7-15-22,8,20,26,53,64,15
7-19-22,2,31,32,37,70,25
7-22-22,14,40,60,64,66,16
7-26-22,7,29,60,63,66,15
7-29-22,13,36,45,57,67,14
8-2-22,10,14,25,37,63,14
8-5-22,2,5,29,64,69,18
8-9-22,1,8,10,25,32,13
8-12-22,23,24,50,54,64,3
8-16-22,33,35,41,45,51,1
8-19-22,12,18,24,46,65,3
8-23-22,3,5,47,48,67,7
8-26-22,6,27,30,38,64,23
8-30-22,2,38,55,57,65,17
9-2-22,39,40,52,60,67,20
9-6-22,6,17,46,59,68,2
9-9-22,16,21,54,55,69,22
9-13-22,14,25,38,59,64,21
9-16-22,15,30,35,38,66,12
9-20-22,9,21,28,30,52,10
9-23-22,5,50,53,58,64,22
9-27-22,8,14,24,43,51,9
9-30-22,16,26,37,40,51,6
10-4-22,15,18,25,33,38,25
10-7-22,6,11,29,36,55,21
10-11-22,3,7,11,13,38,1
10-14-22,9,22,26,41,44,19
10-18-22,1,15,20,44,67,23
10-21-22,34,36,43,45,68,22
10-25-22,21,30,35,45,66,21
10-28-22,4,18,31,53,69,7
11-1-22,5,9,15,16,17,25
11-4-22,2,20,47,55,59,19
11-8-22,5,13,29,38,59,23
11-11-22,1,5,17,37,70,22
11-15-22,6,19,28,46,61,18
11-18-22,2,14,16,38,66,9
11-22-22,13,23,24,25,43,2
11-25-22,29,31,46,54,67,18
11-29-22,20,23,37,46,52,6
12-2-22,1,21,36,46,52,16
12-6-22,15,16,19,28,47,13
12-9-22,8,19,53,61,69,19
12-13-22,14,22,48,58,68,6
12-16-22,8,35,40,53,56,11
12-20-22,3,4,33,36,52,17
12-23-22,15,21,32,38,62,8
12-27-22,9,13,36,59,61,11
12-30-22,1,3,6,44,51,7
1-3-23,25,29,33,41,44,18
1-6-23,3,20,46,59,63,13
1-10-23,7,13,14,15,18,9
1-13-23,30,43,45,46,61,14
1-17-23,2,12,18,24,39,18
1-20-23,20,29,31,64,66,17
1-24-23,33,41,47,50,62,20
1-27-23,4,43,46,47,61,22
1-31-23,7,9,18,29,39,13
2-3-23,1,4,50,54,59,17
2-7-23,9,15,46,55,57,4
2-10-23,20,29,30,52,58,19
2-14-23,23,24,35,40,43,1
2-17-23,2,33,38,57,70,13
2-21-23,2,15,30,36,63,24
2-24-23,2,22,49,65,67,7
2-28-23,14,16,40,52,59,13
3-3-23,8,25,36,39,67,11
3-7-23,15,22,25,28,69,21
3-10-23,9,20,59,60,63,5
3-14-23,1,7,23,38,55,2
3-17-23,26,28,29,39,49,25
3-21-23,1,21,25,27,40,11
3-24-23,14,17,33,42,66,15
3-28-23,2,3,18,32,68,24
3-31-23,16,26,27,42,61,23
4-4-23,1,37,45,62,64,4
4-7-23,12,32,49,51,66,21
4-11-23,31,35,53,54,55,24
4-14-23,23,27,41,48,51,22
4-18-23,7,9,15,19,25,4
4-21-23,3,21,29,46,63,9
4-25-23,8,29,46,47,48,12
4-28-23,18,38,53,62,64,20
5-2-23,3,15,16,32,41,9
5-5-23,16,18,28,42,43,11
5-9-23,4,37,46,48,51,19
5-12-23,1,2,23,40,45,15
5-16-23,15,34,36,69,70,17
5-19-23,5,11,41,44,55,14
5-23-23,3,10,22,65,66,19
5-26-23,12,20,37,41,64,1
5-30-23,13,16,40,64,68,21
6-2-23,3,16,19,36,60,25
6-6-23,6,12,23,29,57,4
6-9-23,3,19,53,60,68,13
6-13-23,8,10,19,44,47,4
6-16-23,4,24,34,45,57,19
6-20-23,6,37,39,45,46,21
6-23-23,13,62,65,67,69,14
6-27-23,8,34,35,41,52,12
6-30-23,13,22,47,51,55,9
7-4-23,21,33,54,61,67,12
7-7-23,8,10,17,55,66,3
7-11-23,10,17,33,51,64,5
7-14-23,10,24,48,51,66,15
7-18-23,19,22,31,37,54,18
7-21-23,29,40,47,50,57,25
7-25-23,3,5,6,44,61,25
7-28-23,5,10,28,52,63,18
